EmployeeId,LastName,FirstName,CustomerId,State,Country,SupportRepId,InvoiceId,CustomerId:1,InvoiceDate,BillingState,BillingCountry,Total,InvoiceId:1,TrackId,UnitPrice,TrackId:1,GenreId,UnitPrice:1,GenreId:1,Name,Last Refresh Date
3,Peacock,Jane,1,SP,Brazil,3,98,1,2010-03-11 0:00,SP,Brazil,3.98,98,3247,1.99,3247,20,1.99,20,Sci Fi & Fantasy,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,98,1,2010-03-11 0:00,SP,Brazil,3.98,98,3248,1.99,3248,20,1.99,20,Sci Fi & Fantasy,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,121,1,2010-06-13 0:00,SP,Brazil,3.96,121,447,0.99,447,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,121,1,2010-06-13 0:00,SP,Brazil,3.96,121,449,0.99,449,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,121,1,2010-06-13 0:00,SP,Brazil,3.96,121,451,0.99,451,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,121,1,2010-06-13 0:00,SP,Brazil,3.96,121,453,0.99,453,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1153,0.99,1153,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1157,0.99,1157,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1161,0.99,1161,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1165,0.99,1165,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1169,0.99,1169,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,143,1,2010-09-15 0:00,SP,Brazil,5.94,143,1173,0.99,1173,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,195,1,2011-05-06 0:00,SP,Brazil,0.99,195,2991,0.99,2991,1,0.99,1,Rock,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,316,1,2012-10-27 0:00,SP,Brazil,1.98,316,3436,0.99,3436,24,0.99,24,Classical,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,316,1,2012-10-27 0:00,SP,Brazil,1.98,316,3438,0.99,3438,24,0.99,24,Classical,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,262,0.99,262,7,0.99,7,Latin,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,271,0.99,271,7,0.99,7,Latin,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,280,0.99,280,7,0.99,7,Latin,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,289,0.99,289,8,0.99,8,Reggae,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,298,0.99,298,8,0.99,8,Reggae,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,307,0.99,307,8,0.99,8,Reggae,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,316,0.99,316,7,0.99,7,Latin,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,325,0.99,325,9,0.99,9,Pop,2024-11-18 16:21
3,Peacock,Jane,1,SP,Brazil,3,327,1,2012-12-07 0:00,SP,Brazil,13.86,327,334,0.99,334,9,0.99,9,Pop,2024-11-18 16:21
